dataset,optimizer,iteration,variation,runtime
GunPoint,sgld-2000-5,28_852073684365423537,11.342216432995118,6980.335209608078
FiftyWords,sgld-2000-5,23_1877495820615365823,29.49151797428399,102930.8147392273
FiftyWords,sgld-2000-5,25_1229264996564678014,25.092885695300463,101483.36494803429
Lightning2,ssg-2000-5,0_192013214711494771,86.23654403311626,7203.089786291122
GunPoint,sgld-2000-5,29_350485825622849823,2.9146538696496873,7462.233330965042
Lightning2,ssg-2000-5,1_1767195562895948150,85.36538710385199,7248.780711174011
Lightning2,ssg-2000-5,2_564650899504315367,88.82769938441982,7385.974059343338
Lightning2,ssg-2000-5,4_2193276659624262765,87.93750049526653,7381.034715414047
Lightning2,ssg-2000-5,3_2108564236506446959,84.01398851985955,7394.354311466217
Lightning2,ssg-2000-5,5_676483326677040715,79.20608485594744,7601.261979818344
Lightning2,ssg-2000-5,6_379142946933391006,82.05842481311986,7510.551784992218
Lightning2,ssg-2000-5,7_1758890951571357490,84.32659835242583,7600.789518117905
Lightning2,ssg-2000-5,8_1722883045273321842,88.83913989564559,7549.960107088089
Lightning2,ssg-2000-5,9_1037409563366605461,85.14312842304878,7633.349216938019
Lightning2,ssg-2000-5,10_1889752076730189149,87.15166573000894,7719.82447385788
Lightning2,ssg-2000-5,11_370669560573937167,86.9188955381035,7866.312941074371
Lightning2,ssg-2000-5,12_267059831109536729,95.23285348892756,7700.243384838104
Lightning2,ssg-2000-5,13_2230257083957071002,83.16865828402658,7879.749621391296
Lightning2,ssg-2000-5,14_57000333646187763,79.1134261395601,7913.575104475021
Lightning2,ssg-2000-5,15_1192168573755149560,88.19992886869645,7901.109246969223
Lightning2,ssg-2000-5,18_562445279179001551,85.83142306864792,7677.5333688259125
Lightning2,ssg-2000-5,16_482957185560563463,89.89344003681781,8043.579380989075
Lightning2,ssg-2000-5,17_619478596579184397,88.55947479357364,8006.5402619838715
Lightning2,ssg-2000-5,19_2068771811185611107,96.55069382753518,7748.93879699707
